LocationID,ACCESS2,ARTHRITIS,BINGE,CANCER,CASTHMA,CERVICAL,CHD,CHECKUP,COLON_SCREEN,COPD,COREM,COREW,CSMOKING,DENTAL,DIABETES,KIDNEY,LPA,MAMMOUSE,MHLTH,OBESITY,PHLTH,SLEEP,STROKE,TEETHLOST
31091,12.1,23.4,22.6,6.6,8.6,84.2,5.7,68.8,60.9,6.0,23.2,22.2,17.0,63.6,8.4,2.5,23.7,68.5,12.1,35.3,10.3,31.0,2.8,13.7
31093,12.6,23.6,23.7,6.6,8.5,83.8,5.7,69.4,62.7,5.9,25.3,22.5,17.2,65.2,8.3,2.4,24.7,68.1,11.7,37.9,10.1,31.4,2.8,13.7
31095,13.9,25.8,22.3,6.4,9.0,82.8,6.3,69.7,57.9,6.7,21.8,20.6,18.6,57.5,9.2,2.6,26.1,67.1,12.9,38.1,11.4,32.9,3.1,16.5
31097,16.6,23.8,23.8,6.2,8.1,83.1,6.2,68.4,55.7,6.3,24.9,20.1,19.2,59.4,9.4,2.6,28.6,66.8,11.8,38.5,10.8,33.4,3.0,15.5
31099,12.4,22.9,23.0,6.6,8.5,84.6,5.7,69.5,61.9,5.8,26.6,23.3,16.9,66.9,8.4,2.5,24.0,70.1,11.7,36.9,10.1,30.9,2.7,12.7
31101,13.8,25.2,23.3,6.5,8.5,83.8,5.9,68.0,57.9,6.2,23.6,24.5,18.3,60.7,8.8,2.5,25.2,66.6,12.2,35.7,10.7,31.2,2.9,14.6
31103,11.8,23.5,23.8,6.5,8.5,84.5,5.7,68.5,59.5,5.8,24.3,22.7,17.2,65.3,8.3,2.4,23.8,68.1,11.7,32.7,10.1,30.7,2.7,13.0
31105,16.0,24.9,21.7,6.5,8.9,82.0,6.5,68.4,57.6,6.9,21.8,20.6,19.8,55.8,9.6,2.8,28.5,62.7,13.1,38.3,12.0,31.6,3.2,16.8
31107,12.8,23.2,22.4,6.5,8.8,83.6,5.8,68.4,57.3,6.2,22.5,21.7,17.1,67.1,8.8,2.6,24.9,65.4,12.1,39.1,10.3,31.5,2.9,14.1
31109,12.1,21.9,24.3,6.5,8.6,84.4,5.4,71.6,66.8,5.5,30.4,27.9,16.4,71.8,8.6,2.5,19.4,70.3,11.4,32.6,9.6,32.6,2.7,10.6
31111,14.0,23.3,22.6,6.5,9.0,83.7,5.9,69.2,61.9,6.1,23.7,20.7,18.4,60.5,9.0,2.5,24.2,64.4,12.3,41.2,10.3,31.6,2.8,14.3
31113,12.1,23.7,23.7,6.5,8.5,84.2,5.9,68.5,59.8,6.0,23.3,22.9,17.3,63.7,8.5,2.5,24.4,68.3,12.0,35.8,10.3,31.1,2.8,13.7
31115,11.5,23.3,23.2,6.6,8.4,84.7,5.6,68.9,61.2,5.7,24.7,23.5,16.5,65.7,8.5,2.5,23.6,68.9,11.6,36.1,10.0,30.6,2.7,13.1
31117,12.5,24.0,22.7,6.7,8.8,83.7,6.1,68.7,60.0,6.4,15.7,22.3,18.0,64.7,8.7,2.6,25.3,67.8,12.6,35.3,10.9,31.5,3.0,14.4
31119,15.2,23.1,21.3,6.2,8.5,83.8,6.0,69.0,58.5,6.2,24.7,22.8,17.4,62.9,9.0,2.6,26.0,66.8,12.0,33.4,10.9,31.9,2.9,14.1
31121,13.2,24.4,24.0,6.5,8.7,83.5,5.9,69.2,58.3,6.1,24.9,25.0,17.7,67.9,9.1,2.5,26.9,70.9,12.2,41.1,10.6,32.4,2.9,13.3
31123,16.0,24.4,22.0,6.5,8.5,83.2,6.1,67.4,57.8,6.4,22.5,20.4,17.9,62.5,9.5,2.6,26.2,66.6,12.3,36.2,11.2,31.7,3.0,15.4
31125,12.8,23.9,23.8,6.6,8.7,83.4,5.7,69.2,58.9,6.3,22.1,22.9,18.1,65.9,8.8,2.5,27.1,69.2,12.4,38.2,10.8,31.4,2.9,14.1
